FullyPaid, IntRate ,Installment,logannual.inc,FICO,RevBal,Purpose,,
Yes, 0.15 ,278.53,10.62132735,662,7979,debt_consolidation,,
Yes, 0.13 ,83.67,9.761463053,692,1245,all_other,,
Yes, 0.15 ,692.9,10.89673933,682,25216,debt_consolidation,,
Yes, 0.12 ,499.5,12.07539432,717,19315,home_improvement,,
Yes, 0.13 ,87.02,10.61624126,687,9847,major_purchase,,
Yes, 0.09 ,158.86,9.729134165,732,6109,educational,,
No, 0.15 ,275.81,11.65268741,677,2884,debt_consolidation,,
Yes, 0.14 ,307.24,11.35040654,677,40,credit_card,,
No, 0.12 ,90.75,10.81977828,727,0,all_other,,
Yes, 0.12 ,497.01,11.38509209,732,32725,debt_consolidation,,
Yes, 0.13 ,336.34,11.04132055,712,5338,all_other,,
No, 0.08 ,280.97,10.9156156,777,8805,debt_consolidation,,
No, 0.11 ,147.62,10.37349118,727,10491,credit_card,,
Yes, 0.11 ,329.69,10.39352663,782,0,major_purchase,,
Yes, 0.09 ,57.19,11.21182037,717,34751,credit_card,,
Yes, 0.11 ,316.5,10.97382039,717,4431,major_purchase,,
Yes, 0.09 ,381.26,10.37349118,757,16588,all_other,,
Yes, 0.09 ,444.81,11.2515607,752,1842,home_improvement,,
Yes, 0.09 ,245.44,10.77895629,732,15355,all_other,,
Yes, 0.15 ,415.74,10.59778407,687,3147,debt_consolidation,,
No, 0.19 ,918.02,11.90496755,662,46031,credit_card,,
No, 0.15 ,515.27,11.00209984,672,7237,debt_consolidation,,
Yes, 0.16 ,703.15,10.56874953,757,2120,small_business,,
No, 0.14 ,509.53,11.30220443,752,981,credit_card,,
Yes, 0.09 ,240.24,11.22524339,757,12952,major_purchase,,
Yes, 0.14 ,329.34,10.81977828,682,4301,debt_consolidation,,
Yes, 0.16 ,139.95,10.91508846,697,405,small_business,,
Yes, 0.13 ,642.22,11.47210347,712,19304,credit_card,,
Yes, 0.16 ,227.41,9.903487553,727,24,small_business,,
Yes, 0.16 ,209.92,10.48893816,682,5019,debt_consolidation,,
Yes, 0.11 ,395.63,10.30895266,732,8526,major_purchase,,
Yes, 0.14 ,85.35,10.6454249,667,20323,all_other,,
Yes, 0.11 ,494.53,10.727663,737,13819,debt_consolidation,,
Yes, 0.12 ,530.15,12.22587527,727,41977,all_other,,
Yes, 0.08 ,206.05,14.12446477,782,20,debt_consolidation,,
Yes, 0.14 ,543.5,11.00209984,697,24089,debt_consolidation,,
Yes, 0.13 ,803.2,11.00209984,732,26715,debt_consolidation,,
Yes, 0.17 ,710.03,11.69524702,692,16725,debt_consolidation,,
Yes, 0.11 ,68.89,9.574983486,712,2256,credit_card,,
Yes, 0.08 ,249.75,10.23995979,772,7943,debt_consolidation,,
Yes, 0.13 ,840.83,13.71015004,747,30706,all_other,,
Yes, 0.14 ,327.72,11.19821472,682,618,debt_consolidation,,
Yes, 0.12 ,157.39,9.862665558,717,11023,debt_consolidation,,
Yes, 0.13 ,253.51,11.19821472,682,21075,all_other,,
Yes, 0.15 ,452.6,10.42821608,712,1867,all_other,,
Yes, 0.07 ,92.7,10.59663473,772,1326,debt_consolidation,,
Yes, 0.11 ,196.83,10.77895629,722,3688,debt_consolidation,,
Yes, 0.12 ,397.61,10.59663473,722,7383,debt_consolidation,,
No, 0.14 ,285.34,10.81977828,682,3743,debt_consolidation,,
Yes, 0.15 ,242.52,10.6454249,667,1747,major_purchase,,
Yes, 0.13 ,283.93,10.81977828,707,3972,major_purchase,,
Yes, 0.15 ,522.23,11.62625415,672,37859,debt_consolidation,,
Yes, 0.14 ,187.76,11.29177992,677,62680,debt_consolidation,,
No, 0.13 ,219.71,10.59663473,757,6770,all_other,,
Yes, 0.07 ,77.65,10.81174611,797,1844,home_improvement,,
Yes, 0.14 ,34.31,10.71441777,662,7153,debt_consolidation,,
Yes, 0.16 ,556.44,10.77895629,717,5481,debt_consolidation,,
Yes, 0.15 ,866.13,11.17504424,702,8414,all_other,,
Yes, 0.12 ,198.81,10.71441777,702,13029,debt_consolidation,,
Yes, 0.13 ,507.01,10.3809632,707,14489,debt_consolidation,,
Yes, 0.13 ,201.8,10.96819829,687,6184,credit_card,,
Yes, 0.09 ,190.63,10.30895266,757,144,all_other,,
Yes, 0.09 ,174.75,11.28978191,742,7057,debt_consolidation,,
Yes, 0.12 ,414.18,10.91508846,737,2054,home_improvement,,
Yes, 0.14 ,407.63,11.60823564,677,7259,debt_consolidation,,
Yes, 0.13 ,70.28,11.12726298,682,11023,debt_consolidation,,
No, 0.13 ,167.34,9.700146629,722,1231,all_other,,
Yes, 0.16 ,551.14,11.42954386,662,22689,debt_consolidation,,
Yes, 0.14 ,203.82,10.4341158,682,5950,debt_consolidation,,
Yes, 0.16 ,279.89,10.1266311,672,6706,credit_card,,
Yes, 0.16 ,699.73,10.858999,797,39,small_business,,
Yes, 0.13 ,135.21,9.76995616,677,9874,debt_consolidation,,
Yes, 0.12 ,298.21,11.1844214,737,12893,credit_card,,
Yes, 0.15 ,165.49,10.93310697,662,5993,debt_consolidation,,
Yes, 0.15 ,269.82,11.75978554,712,39121,small_business,,
Yes, 0.12 ,828.35,11.49272276,767,3142,educational,,
No, 0.12 ,249.75,10.50012383,707,6528,debt_consolidation,,
Yes, 0.13 ,108.77,10.23995979,687,6211,debt_consolidation,,
Yes, 0.11 ,304.96,10.23995979,717,16683,debt_consolidation,,
Yes, 0.13 ,121.08,11.23843599,692,12135,debt_consolidation,,
Yes, 0.21 ,827.33,11.81303006,672,62553,debt_consolidation,,
Yes, 0.07 ,217.42,10.60221911,772,14014,credit_card,,
Yes, 0.09 ,381.26,11.34332268,792,1940,debt_consolidation,,
Yes, 0.16 ,69.98,10.45737267,702,239,small_business,,
Yes, 0.06 ,190.14,10.52942598,747,543,home_improvement,,
Yes, 0.17 ,713.49,11.73606902,667,32120,debt_consolidation,,
Yes, 0.15 ,577.46,11.65268741,747,6341,small_business,,
Yes, 0.15 ,207.87,10.81977828,702,14306,all_other,,
Yes, 0.13 ,84.51,11.08214255,677,20241,all_other,,
Yes, 0.12 ,397.61,11.71993963,722,46336,all_other,,
Yes, 0.09 ,152.51,11.3736634,732,27901,debt_consolidation,,
Yes, 0.11 ,377.25,11.88448902,757,11484,debt_consolidation,,
Yes, 0.15 ,173.23,10.6281334,667,5116,all_other,,
Yes, 0.09 ,316.11,11.23321156,752,22078,home_improvement,,
Yes, 0.12 ,333,10.4341158,712,19034,credit_card,,
No, 0.12 ,165.67,11.39526742,702,8950,major_purchase,,
Yes, 0.09 ,413.03,11.40756495,747,13298,debt_consolidation,,
Yes, 0.08 ,50.05,10.727663,717,10684,small_business,,
Yes, 0.13 ,253.51,10.83295114,682,7321,debt_consolidation,,
Yes, 0.09 ,457.51,10.54534144,747,15373,credit_card,,
Yes, 0.09 ,379.33,11.04292184,777,22054,debt_consolidation,,
Yes, 0.12 ,313.95,11.22524339,727,12829,all_other,,
Yes, 0.14 ,611.44,10.69194491,692,5494,debt_consolidation,,
Yes, 0.17 ,603.53,11.48497363,672,56896,debt_consolidation,,
Yes, 0.14 ,40.97,10.22557105,672,9228,home_improvement,,
Yes, 0.08 ,202.93,11.1124479,772,2930,all_other,,
Yes, 0.09 ,381.26,11.46163217,762,10221,credit_card,,
Yes, 0.12 ,563.28,10.75052252,722,14907,debt_consolidation,,
Yes, 0.08 ,109.27,10.66326482,747,1982,all_other,,
Yes, 0.14 ,136.55,9.998797732,667,12925,debt_consolidation,,
Yes, 0.14 ,101.91,10.22557105,672,2229,debt_consolidation,,
Yes, 0.08 ,156.1,11.28978191,797,429,home_improvement,,
Yes, 0.12 ,662.68,10.91508846,742,20357,debt_consolidation,,
Yes, 0.09 ,397.15,10.34174248,762,16495,credit_card,,
Yes, 0.13 ,81.13,10.77167988,682,19888,all_other,,
Yes, 0.15 ,400.38,10.4487146,667,11438,debt_consolidation,,
Yes, 0.12 ,366.3,10.62132735,707,11129,debt_consolidation,,
Yes, 0.12 ,333,11.12726298,712,35121,major_purchase,,
Yes, 0.13 ,401.6,10.84933709,742,9087,debt_consolidation,,
Yes, 0.16 ,316.42,11.38639806,697,5273,debt_consolidation,,
Yes, 0.16 ,131.2,9.952277717,697,13881,credit_card,,
Yes, 0.13 ,215.26,10.30895266,692,6978,debt_consolidation,,
Yes, 0.07 ,186.36,10.47425013,782,2772,debt_consolidation,,
Yes, 0.15 ,173.23,11.66392834,677,32549,debt_consolidation,,
Yes, 0.11 ,196.83,13.71015004,722,6530,major_purchase,,
Yes, 0.13 ,117.72,11.21182037,697,30703,all_other,,
Yes, 0.11 ,32.97,10.49127422,742,2287,all_other,,
Yes, 0.13 ,676.02,11.01862914,712,1284,all_other,,
Yes, 0.15 ,216.54,10.29688008,662,18270,debt_consolidation,,
Yes, 0.13 ,174.03,10.16585182,692,7839,debt_consolidation,,
Yes, 0.16 ,703.15,11.98292909,717,57602,small_business,,
No, 0.15 ,330.75,10.49127422,667,7306,debt_consolidation,,
Yes, 0.07 ,124.24,10.81977828,787,4071,debt_consolidation,,
Yes, 0.12 ,333,11.03488966,717,6238,debt_consolidation,,
Yes, 0.12 ,582.75,10.77895629,717,31376,home_improvement,,
Yes, 0.15 ,155.14,10.81977828,737,7114,debt_consolidation,,
Yes, 0.18 ,836.51,11.81303006,687,17606,small_business,,
No, 0.13 ,259.37,10.08029393,757,1709,credit_card,,
Yes, 0.15 ,870.39,11.86358234,747,7424,small_business,,
No, 0.13 ,269.07,11.33857208,727,685,credit_card,,
Yes, 0.09 ,190.63,10.6454249,727,8706,credit_card,,
Yes, 0.07 ,77.65,10.87804719,767,23331,all_other,,
Yes, 0.12 ,662.68,10.76789534,812,879,major_purchase,,
Yes, 0.07 ,37.28,11.00209984,762,37459,major_purchase,,
Yes, 0.09 ,94.84,10.55841352,727,2610,home_improvement,,
Yes, 0.09 ,316.11,10.49127422,767,9389,debt_consolidation,,
Yes, 0.08 ,187.32,10.66895539,762,11413,debt_consolidation,,
Yes, 0.12 ,266.4,9.510444964,747,707,major_purchase,,
No, 0.13 ,168.17,10.87426647,682,1465,home_improvement,,
Yes, 0.14 ,392.58,11.08214255,682,10104,credit_card,,
Yes, 0.13 ,281.12,11.8493977,697,7479,credit_card,,
Yes, 0.08 ,312.81,10.858999,762,7386,all_other,,
Yes, 0.13 ,235.44,11.53272809,687,22845,all_other,,
Yes, 0.13 ,403.6,10.82774645,697,19137,credit_card,,
Yes, 0.15 ,110.33,11.2515607,662,5843,debt_consolidation,,
Yes, 0.09 ,274.83,10.30895266,767,3590,credit_card,,
Yes, 0.11 ,692.34,10.96065265,757,4800,all_other,,
Yes, 0.09 ,324.07,11.35040654,757,6473,all_other,,
Yes, 0.14 ,411.67,11.00209984,702,26331,credit_card,,
Yes, 0.11 ,328.04,10.818177,722,6648,credit_card,,
No, 0.16 ,852.57,11.69524702,757,12067,debt_consolidation,,
No, 0.13 ,215.26,11.16726111,687,12267,major_purchase,,
Yes, 0.12 ,828.35,11.22524339,807,0,debt_consolidation,,
Yes, 0.11 ,360.84,11.53632944,757,14617,all_other,,
Yes, 0.12 ,333,10.77895629,707,3486,all_other,,
No, 0.16 ,703.15,10.858999,682,1742,all_other,,
Yes, 0.11 ,65.94,10.81977828,712,4005,all_other,,
Yes, 0.14 ,509.53,10.70324447,717,6588,all_other,,
Yes, 0.11 ,393.65,10.59663473,752,12746,debt_consolidation,,
Yes, 0.12 ,333,10.59663473,707,10006,debt_consolidation,,
Yes, 0.09 ,203.34,10.727663,782,0,all_other,,
Yes, 0.12 ,532.8,10.69194491,717,17070,debt_consolidation,,
Yes, 0.13 ,338.01,11.60823564,687,12919,major_purchase,,
No, 0.15 ,146.23,10.30895266,667,5256,all_other,,
Yes, 0.09 ,205.47,10.37349118,732,2400,all_other,,
Yes, 0.12 ,198.81,10.95109493,722,9107,all_other,,
Yes, 0.09 ,292.4,11.09741002,747,17411,debt_consolidation,,
Yes, 0.15 ,137.91,10.57131693,722,1942,all_other,,
Yes, 0.13 ,815.61,12.03617361,722,44889,all_other,,
Yes, 0.14 ,339.69,10.81977828,702,8006,debt_consolidation,,
Yes, 0.09 ,98.5,10.77895629,717,15354,debt_consolidation,,
Yes, 0.09 ,158.86,10.23895929,742,6479,debt_consolidation,,
Yes, 0.13 ,401.6,10.91508846,702,18700,debt_consolidation,,
Yes, 0.09 ,254.18,11.64745636,742,53066,credit_card,,
Yes, 0.07 ,62.12,11.28978191,752,13482,all_other,,
Yes, 0.11 ,590.47,11.6307085,772,0,all_other,,
No, 0.12 ,166.5,10.6896696,692,11797,all_other,,
Yes, 0.18 ,506.74,10.34817337,662,15767,debt_consolidation,,
Yes, 0.15 ,208.9,10.72317927,682,6474,debt_consolidation,,
Yes, 0.14 ,273.1,11.00209984,677,12897,debt_consolidation,,
Yes, 0.09 ,317.72,10.47333652,812,2600,home_improvement,,
Yes, 0.07 ,124.24,11.79810441,772,10583,home_improvement,,
Yes, 0.16 ,527.36,11.08214255,677,10472,debt_consolidation,,
Yes, 0.11 ,824.22,11.05089001,802,2148,home_improvement,,
Yes, 0.11 ,423.28,10.71441777,722,24931,debt_consolidation,,
Yes, 0.13 ,510.37,10.49404814,707,22376,debt_consolidation,,
Yes, 0.12 ,165.67,11.35040654,717,5147,all_other,,
Yes, 0.16 ,168.76,11.49272276,662,72289,debt_consolidation,,
Yes, 0.13 ,507.01,10.46310334,697,12361,debt_consolidation,,
Yes, 0.09 ,300.3,10.49127422,757,9324,debt_consolidation,,
Yes, 0.09 ,309.78,11.00209984,792,6,major_purchase,,
Yes, 0.09 ,316.11,11.41861479,752,10373,home_improvement,,
Yes, 0.09 ,222.41,10.89673933,732,16405,credit_card,,
Yes, 0.13 ,284.47,10.79957558,712,2280,debt_consolidation,,
Yes, 0.09 ,316.11,10.87804719,752,28289,major_purchase,,
No, 0.14 ,51.21,10.89673933,672,1449,debt_consolidation,,
Yes, 0.11 ,197.82,10.81977828,717,4133,debt_consolidation,,
Yes, 0.09 ,316.11,11.28978191,802,2010,all_other,,
Yes, 0.12 ,532.8,11.69524702,722,85896,credit_card,,
Yes, 0.13 ,540.81,11.39639165,732,6847,debt_consolidation,,
Yes, 0.11 ,164.02,10.81977828,717,5305,credit_card,,
Yes, 0.14 ,238.96,11.05089001,747,3969,small_business,,
Yes, 0.11 ,494.53,11.28978191,737,38142,credit_card,,
No, 0.09 ,102.74,8.699514748,732,1215,debt_consolidation,,
Yes, 0.15 ,866.13,11.62625415,707,79746,debt_consolidation,,
Yes, 0.13 ,117.14,10.27505111,692,4613,all_other,,
Yes, 0.07 ,155.3,10.81977828,772,16685,debt_consolidation,,
Yes, 0.14 ,171.53,11.40756495,727,28532,debt_consolidation,,
No, 0.09 ,158.86,10.96127785,727,2530,debt_consolidation,,
No, 0.21 ,746.24,11.73606902,662,90063,debt_consolidation,,
Yes, 0.14 ,343.06,11.44035477,677,4848,debt_consolidation,,
Yes, 0.08 ,187.32,10.59663473,762,1940,debt_consolidation,,
Yes, 0.09 ,155.69,11.58058411,727,26192,debt_consolidation,,
Yes, 0.16 ,815.66,11.22524339,752,2018,small_business,,
Yes, 0.08 ,218.54,11.15625052,752,3233,educational,,
Yes, 0.15 ,334.23,11.16761428,672,34009,all_other,,
Yes, 0.16 ,874.66,10.90381461,687,5734,debt_consolidation,,
Yes, 0.09 ,158.86,10.87804719,732,25295,debt_consolidation,,
No, 0.12 ,99.41,9.764225485,732,228,all_other,,
No, 0.11 ,32.97,10.13459927,702,7569,all_other,,
No, 0.12 ,832.5,12.20607265,737,15169,debt_consolidation,,
Yes, 0.09 ,237.08,11.03488966,782,0,educational,,
Yes, 0.15 ,620.56,10.93310697,682,32820,debt_consolidation,,
Yes, 0.11 ,49.46,10.40426284,757,280,home_improvement,,
Yes, 0.12 ,165.67,11.47210347,702,66179,credit_card,,
No, 0.15 ,164.57,10.16277015,662,275,all_other,,
No, 0.16 ,176.65,11.00209984,667,0,all_other,,
Yes, 0.09 ,317.72,11.23413706,762,66,home_improvement,,
Yes, 0.09 ,476.58,11.22524339,777,1892,credit_card,,
Yes, 0.14 ,546.2,11.39751461,692,10852,credit_card,,
No, 0.09 ,158.06,11.40756495,742,3945,major_purchase,,
Yes, 0.13 ,368.13,11.30958454,727,358,all_other,,
Yes, 0.08 ,249.75,11.35040654,777,5037,all_other,,
Yes, 0.15 ,313.34,10.70283989,662,3094,debt_consolidation,,
No, 0.09 ,31.62,11.22524339,752,5698,all_other,,
Yes, 0.15 ,41.38,10.59663473,662,7774,all_other,,
Yes, 0.14 ,204.83,10.23995979,672,11206,debt_consolidation,,
Yes, 0.11 ,329.69,10.49127422,777,523,all_other,,
Yes, 0.12 ,331.34,10.1266311,742,5787,debt_consolidation,,
Yes, 0.15 ,452.6,10.6454249,672,12425,all_other,,
Yes, 0.11 ,346.17,10.96819829,742,10044,debt_consolidation,,
Yes, 0.13 ,403.6,10.79374227,692,12668,debt_consolidation,,
No, 0.16 ,562.52,10.77895629,662,10441,credit_card,,
Yes, 0.12 ,616.05,11.58988651,722,120,debt_consolidation,,
Yes, 0.15 ,277.16,10.54534144,667,5124,debt_consolidation,,
Yes, 0.13 ,730.1,12.65395847,717,100109,debt_consolidation,,
Yes, 0.14 ,286.75,10.41271189,682,7452,debt_consolidation,,
Yes, 0.19 ,91.37,11.08214255,662,2601,small_business,,
Yes, 0.13 ,538.14,10.91508846,717,24953,debt_consolidation,,
Yes, 0.09 ,316.11,11.51292546,792,1800,debt_consolidation,,
Yes, 0.15 ,658.26,10.78692446,687,23533,debt_consolidation,,
Yes, 0.16 ,237.91,10.858999,662,8159,debt_consolidation,,
No, 0.15 ,275.81,11.01862914,667,15183,all_other,,
Yes, 0.12 ,119.29,10.46310334,712,800,all_other,,
Yes, 0.12 ,832.5,11.56171563,762,2290,major_purchase,,
Yes, 0.14 ,67.94,9.998797732,707,1527,all_other,,
Yes, 0.13 ,201.8,9.59315079,682,2269,all_other,,
No, 0.17 ,514.77,10.26813067,677,5465,all_other,,
Yes, 0.14 ,314.21,10.26813067,702,0,all_other,,
Yes, 0.14 ,168.1,10.19913779,722,17998,debt_consolidation,,
Yes, 0.09 ,316.11,11.15625052,782,8825,debt_consolidation,,
Yes, 0.13 ,336.34,10.71441777,697,11585,debt_consolidation,,
Yes, 0.14 ,68.62,11.00209984,732,50082,small_business,,
No, 0.15 ,278.53,11.01862914,677,858,debt_consolidation,,
Yes, 0.14 ,169.85,10.42228135,677,179,debt_consolidation,,
No, 0.16 ,524.8,11.98292909,687,65872,debt_consolidation,,
Yes, 0.16 ,524.8,11.30012821,677,0,home_improvement,,
No, 0.13 ,202.81,10.71441777,682,6026,debt_consolidation,,
Yes, 0.09 ,381.26,10.81977828,752,10457,major_purchase,,
Yes, 0.09 ,301.04,10.20359214,752,7866,debt_consolidation,,
Yes, 0.12 ,666,11.08214255,722,9263,debt_consolidation,,
Yes, 0.17 ,143.39,11.38509209,662,44991,credit_card,,
Yes, 0.16 ,559.78,10.89087028,677,10728,debt_consolidation,,
Yes, 0.13 ,317.93,10.95080655,702,8300,debt_consolidation,,
Yes, 0.12 ,765.9,11.62625415,737,25274,debt_consolidation,,
Yes, 0.11 ,341.16,10.6454249,732,12747,debt_consolidation,,
Yes, 0.12 ,198.81,12.20607265,702,22003,home_improvement,,
Yes, 0.11 ,442.85,10.7898715,742,13844,all_other,,
No, 0.13 ,66.94,10.37349118,687,10186,all_other,,
Yes, 0.12 ,632.7,10.5941316,737,19697,debt_consolidation,,
Yes, 0.08 ,218.54,10.16585182,772,0,all_other,,
Yes, 0.11 ,328.87,10.09195684,727,21052,debt_consolidation,,
Yes, 0.15 ,242.52,11.91839057,682,633,all_other,,
Yes, 0.14 ,686.12,11.69524702,692,57803,educational,,
Yes, 0.09 ,190.63,10.13459927,752,17953,credit_card,,
Yes, 0.15 ,448.18,10.5865844,677,14021,debt_consolidation,,
Yes, 0.15 ,620.56,11.81303006,767,3884,small_business,,
Yes, 0.09 ,221.28,10.93310697,762,977,debt_consolidation,,
Yes, 0.14 ,203.82,11.00209984,682,679,major_purchase,,
Yes, 0.08 ,186.66,10.91508846,737,14217,debt_consolidation,,
Yes, 0.14 ,377.37,10.75739211,677,16665,debt_consolidation,,
No, 0.13 ,84.51,10.35210793,727,17806,debt_consolidation,,
Yes, 0.15 ,189.62,11.3736634,667,30209,debt_consolidation,,
Yes, 0.13 ,270.41,10.858999,697,9017,debt_consolidation,,
Yes, 0.09 ,413.03,11.00209984,757,17278,debt_consolidation,,
Yes, 0.07 ,49.7,10.41331268,752,2201,all_other,,
No, 0.11 ,164.85,10.30895266,747,452,all_other,,
Yes, 0.12 ,333,11.35040654,712,239,home_improvement,,
Yes, 0.11 ,229.63,10.55841352,772,777,educational,,
Yes, 0.16 ,587.77,11.28978191,672,19333,debt_consolidation,,
Yes, 0.12 ,397.61,10.30895266,722,4893,debt_consolidation,,
Yes, 0.07 ,92.7,10.71441777,772,13440,debt_consolidation,,
Yes, 0.12 ,666,11.22524339,732,11522,debt_consolidation,,
Yes, 0.16 ,349.87,11.32055357,662,35876,debt_consolidation,,
Yes, 0.15 ,277.16,11.35040654,667,8590,home_improvement,,
Yes, 0.13 ,319.52,10.75790288,697,6696,debt_consolidation,,
Yes, 0.09 ,95.32,10.89673933,722,2541,all_other,,
Yes, 0.11 ,32.97,10.13459927,712,6,educational,,
Yes, 0.14 ,343.06,11.51292546,677,1459,all_other,,
Yes, 0.11 ,164.02,10.84349481,772,63,all_other,,
Yes, 0.14 ,163.05,12.4292162,682,9299,major_purchase,,
Yes, 0.13 ,135.21,9.798127037,702,1291,all_other,,
Yes, 0.14 ,238.96,11.08214255,682,400,major_purchase,,
Yes, 0.07 ,108.15,9.574983486,792,12748,all_other,,
No, 0.12 ,266.4,10.49127422,702,7976,debt_consolidation,,
Yes, 0.07 ,92.7,10.89673933,797,6015,debt_consolidation,,
Yes, 0.09 ,285.95,11.1123882,737,17870,credit_card,,
Yes, 0.13 ,60.24,10.57745191,682,2496,all_other,,
Yes, 0.09 ,252.89,11.2708539,772,358,all_other,,
Yes, 0.13 ,811.56,11.5228758,737,33098,debt_consolidation,,
No, 0.12 ,397.61,10.4744671,722,14406,debt_consolidation,,
Yes, 0.07 ,198.78,14.18015367,772,2926,major_purchase,,
Yes, 0.12 ,199.8,10.85013987,722,4342,all_other,,
Yes, 0.15 ,277.16,11.08214255,662,7855,all_other,,
Yes, 0.14 ,171.53,10.59663473,682,5536,debt_consolidation,,
Yes, 0.11 ,799.49,12.20607265,777,2574,debt_consolidation,,
No, 0.11 ,725.31,11.40366848,802,2123,all_other,,
Yes, 0.13 ,251,10.95080655,697,4700,all_other,,
No, 0.17 ,179.24,11.2515607,687,35820,small_business,,
Yes, 0.09 ,316.11,10.70324447,752,6593,debt_consolidation,,
Yes, 0.12 ,828.35,11.49272276,752,84110,debt_consolidation,,
Yes, 0.07 ,92.7,10.858999,777,14444,all_other,,
Yes, 0.12 ,198.81,11.00141627,702,18549,debt_consolidation,,
Yes, 0.12 ,662.68,11.33857208,747,8156,debt_consolidation,,
Yes, 0.12 ,399.6,11.21182037,712,14615,debt_consolidation,,
Yes, 0.09 ,413.03,10.93310697,752,18266,debt_consolidation,,
Yes, 0.12 ,198.81,10.02127059,747,2458,all_other,,
Yes, 0.13 ,267.74,11.71993963,697,37784,all_other,,
Yes, 0.08 ,249.75,10.30895266,792,4887,debt_consolidation,,
Yes, 0.09 ,158.06,9.903487553,742,3406,debt_consolidation,,
Yes, 0.09 ,205.47,10.30895266,742,29437,debt_consolidation,,
Yes, 0.15 ,844.28,11.75587164,682,31525,debt_consolidation,,
No, 0.14 ,411.67,11.35040654,707,2335,debt_consolidation,,
Yes, 0.11 ,164.02,10.55581274,712,2650,major_purchase,,
Yes, 0.08 ,135.03,11.46507298,797,2792,all_other,,
Yes, 0.13 ,270.41,11.01862914,692,10320,credit_card,,
Yes, 0.09 ,381.26,10.55059289,797,201,debt_consolidation,,
Yes, 0.09 ,316.11,11.54248427,752,7015,debt_consolidation,,
Yes, 0.13 ,334.67,11.33857208,702,52537,all_other,,
Yes, 0.08 ,183.41,12.82395734,807,6098,all_other,,
Yes, 0.15 ,86.62,10.62132735,667,1759,debt_consolidation,,
Yes, 0.12 ,66.27,10.95954023,692,10708,credit_card,,
Yes, 0.14 ,343.06,11.66134547,677,29344,major_purchase,,
Yes, 0.11 ,461.56,10.91508846,727,12875,debt_consolidation,,
Yes, 0.09 ,316.11,11.91839057,757,82445,debt_consolidation,,
Yes, 0.14 ,441.6,10.61643736,687,17704,debt_consolidation,,
Yes, 0.14 ,102.42,10.49127422,682,8901,debt_consolidation,,
Yes, 0.13 ,184.99,9.169518377,692,253,debt_consolidation,,
Yes, 0.06 ,380.27,11.35040654,677,10844,debt_consolidation,,
Yes, 0.11 ,164.85,11.42081018,712,10842,debt_consolidation,,
Yes, 0.17 ,795.24,11.35040654,717,11717,major_purchase,,
Yes, 0.14 ,51.21,10.30895266,667,2603,all_other,,
Yes, 0.14 ,679.37,10.94022444,727,22969,debt_consolidation,,
Yes, 0.11 ,263.75,10.79345484,717,16275,credit_card,,
No, 0.11 ,393.65,10.71441777,772,3663,debt_consolidation,,
Yes, 0.09 ,108.03,10.25428526,777,3459,credit_card,,
Yes, 0.13 ,217.54,10.08580911,702,1799,all_other,,
Yes, 0.09 ,317.72,11.49272276,747,32508,debt_consolidation,,
Yes, 0.09 ,462.28,11.29488139,767,23088,debt_consolidation,,
Yes, 0.20 ,556.1,10.91508846,692,10893,small_business,,
Yes, 0.14 ,679.37,11.51292546,702,27421,debt_consolidation,,
Yes, 0.08 ,312.19,11.77528973,787,10184,all_other,,
No, 0.13 ,502,11.33857208,712,15690,home_improvement,,
Yes, 0.13 ,456.31,10.9864446,692,6702,debt_consolidation,,
No, 0.14 ,480.29,10.69194491,747,14479,small_business,,
Yes, 0.13 ,157.18,10.26370422,687,23810,debt_consolidation,,
Yes, 0.14 ,237.78,11.08214255,677,3964,debt_consolidation,,
Yes, 0.13 ,334.67,10.91508846,792,383,all_other,,
Yes, 0.13 ,161.44,10.25765937,697,3647,debt_consolidation,,
Yes, 0.14 ,273.1,10.49127422,692,13568,all_other,,
Yes, 0.11 ,328.04,10.30895266,747,7656,debt_consolidation,,
Yes, 0.08 ,280.97,11.23843599,772,9910,all_other,,
Yes, 0.13 ,507.01,11.77528973,697,23494,credit_card,,
No, 0.14 ,274.45,11.39075783,682,15514,all_other,,
Yes, 0.16 ,874.66,11.08214255,747,22170,small_business,,
Yes, 0.09 ,252.89,11.22524339,767,10624,debt_consolidation,,
Yes, 0.12 ,532.8,11.15625052,717,15458,debt_consolidation,,
Yes, 0.12 ,662.68,11.94470788,737,32654,credit_card,,
Yes, 0.12 ,832.5,10.75790288,752,23602,debt_consolidation,,
Yes, 0.12 ,198.81,11.28978191,707,12757,debt_consolidation,,
Yes, 0.11 ,328.04,10.39145388,782,13952,debt_consolidation,,
Yes, 0.15 ,172.38,10.40329267,667,4925,debt_consolidation,,
No, 0.13 ,287.31,9.798127037,682,4867,major_purchase,,
Yes, 0.09 ,142.98,11.07069263,787,858,home_improvement,,
Yes, 0.07 ,83.86,9.392661929,757,1158,all_other,,
Yes, 0.11 ,164.85,10.30895266,782,1149,all_other,,
Yes, 0.12 ,333,11.0744205,707,33878,debt_consolidation,,
Yes, 0.12 ,381.04,10.60903256,722,19036,debt_consolidation,,
Yes, 0.21 ,491.2,11.95761129,667,14718,small_business,,
Yes, 0.12 ,266.4,10.59663473,707,2707,debt_consolidation,,
No, 0.15 ,522.23,10.81977828,727,8394,small_business,,
Yes, 0.14 ,118.89,11.03488966,687,450,all_other,,
Yes, 0.14 ,136.55,10.66895539,672,7094,major_purchase,,
